gvkey,datadate,fyear,at,lt,sale,ni,roe,roa,ticker,conm
117768,2025-01-31,2024,111601.0,32274.0,130497.0,72880.0,0.9187288060811577,0.6530407433625147,NVDA,NVIDIA CORP
339965,2025-01-31,2024,9033.938,6027.295,3626.396,-1285.64,-0.4285568091778172,-0.14231224522461855,SNOW,SNOWFLAKE INC
157855,2025-01-31,2024,102928.0,41755.0,37895.0,6197.0,0.10130286237392314,0.060207135084719414,CRM,SALESFORCE INC
035005,2025-01-31,2024,10988.421,2053.337,4665.433,1010.238,0.1130641860781611,0.09193659398379439,ZM,ZOOM COMMUNICATIONS INC
064768,2024-12-31,2024,624894.0,338924.0,637959.0,59248.0,0.2071825715984194,0.09481288026449286,AMZN,AMAZON.COM INC
006008,2024-12-31,2024,196485.0,91453.0,53101.0,-18756.0,-0.18893925657298277,-0.09545766852431484,INTC,INTEL CORP
023650,2024-12-31,2024,13924.0,2366.0,8880.0,2019.0,0.17468420141893062,0.1450014363688595,SHOP,SHOPIFY INC
024616,2024-12-31,2024,81611.0,61194.0,31797.0,4147.0,0.20311505118283782,0.05081422847410275,PYPL,PAYPAL HOLDINGS INC
036910,2024-12-31,2024,6340.884,1246.477,2865.507,462.19,0.09237749274225382,0.0728904676382662,PLTR,PALANTIR TECHNOLOG INC
001161,2024-12-31,2024,69226.0,11658.0,25785.0,1641.0,0.028505419677598665,0.02370496634212579,AMD,ADVANCED MICRO DEVICES
147579,2024-12-31,2024,53630.374,28886.807,39000.966,8711.631,0.3520766023750739,0.16243837866952038,NFLX,NETFLIX INC
160329,2024-12-31,2024,450256.0,125172.0,350018.0,100118.0,0.3109409163188233,0.22235794747876764,GOOGL,ALPHABET INC
170617,2024-12-31,2024,276054.0,93417.0,164501.0,62360.0,0.34144231453648494,0.22589783158367566,META,META PLATFORMS INC
184996,2024-12-31,2024,122070.0,48390.0,97690.0,7091.0,0.09725289043106168,0.05808962070942902,TSLA,TESLA INC
012540,2024-11-30,2024,30230.0,16125.0,21505.0,5560.0,0.3941864587025877,0.18392325504465762,ADBE,ADOBE INC
180711,2024-10-31,2024,165645.0,97967.0,51574.0,5895.0,0.08710363781435622,0.03558815539255637,AVGO,BROADCOM INC
001690,2024-09-30,2024,364980.0,308030.0,391035.0,93736.0,1.6459350307287095,0.25682503150857583,AAPL,APPLE INC
024800,2024-09-30,2024,55154.0,28880.0,38962.0,10142.0,0.38600898226383495,0.1838851216593538,QCOM,QUALCOMM INC
012141,2024-06-30,2024,512163.0,243686.0,245122.0,88136.0,0.32828137978299815,0.17208583985957596,MSFT,MICROSOFT CORP
157855,2024-01-31,2023,99823.0,40177.0,34857.0,4136.0,0.06934245381081715,0.04143333700650151,CRM,SALESFORCE INC
339965,2024-01-31,2023,8223.383,3032.789,2806.489,-836.097,-0.16139909055600554,-0.10167311920167163,SNOW,SNOWFLAKE INC
117768,2024-01-31,2023,65728.0,22750.0,60922.0,29760.0,0.6924472986178976,0.4527750730282376,NVDA,NVIDIA CORP
035005,2024-01-31,2023,9929.793,1910.387,4527.224,637.462,0.0794899273088306,0.06419690722656556,ZM,ZOOM COMMUNICATIONS INC
