gvkey,datadate,fyear,fyr,indfmt,consol,at,lt,ceq,ch,dltt,dlc,rect,invt,sale,revt,cogs,xsga,ebit,ebitda,ni,ib,xrd,capx,ticker,conm
117768,2025-01-31,2024,1,INDL,C,111601.0,32274.0,79327.0,8589.0,9982.0,288.0,23065.0,10080.0,130497.0,130497.0,30775.0,16405.0,81453.0,83317.0,72880.0,72880.0,12914.0,3236.0,NVDA,NVIDIA CORP
339965,2025-01-31,2024,1,INDL,C,9033.938,6027.295,2999.929,2628.798,2649.347,35.923,922.805,0.0,3626.396,3626.396,1072.277,3808.168,-1436.557,-1254.049,-1285.64,-1285.64,1783.379,75.712,SNOW,SNOWFLAKE INC
035005,2025-01-31,2024,1,INDL,C,10988.421,2053.337,8935.084,1349.38,37.406,,495.228,0.0,4665.433,4665.433,999.69,2671.948,871.163,993.795,1010.238,1010.238,852.415,136.56,ZM,ZOOM COMMUNICATIONS INC
157855,2025-01-31,2024,1,INDL,C,102928.0,41755.0,61173.0,8848.0,11154.0,916.0,11945.0,0.0,37895.0,37895.0,6893.0,20685.0,7666.0,10317.0,6197.0,6197.0,5493.0,658.0,CRM,SALESFORCE INC
036910,2024-12-31,2024,12,INDL,C,6340.884,1246.477,5003.275,2098.524,195.226,43.993,575.048,0.0,2865.507,2865.507,534.403,1989.114,310.403,341.99,462.19,462.19,507.878,12.634,PLTR,PALANTIR TECHNOLOG INC
001161,2024-12-31,2024,12,INDL,C,69226.0,11658.0,57568.0,3787.0,2212.0,109.0,6933.0,5734.0,25785.0,25785.0,11594.0,9053.0,2290.0,5138.0,1641.0,1641.0,6456.0,636.0,AMD,ADVANCED MICRO DEVICES
006008,2024-12-31,2024,12,INDL,C,196485.0,91453.0,99270.0,8249.0,46561.0,3910.0,8176.0,12198.0,53101.0,53101.0,24566.0,21864.0,-4708.0,6671.0,-18756.0,-18756.0,16546.0,23944.0,INTC,INTEL CORP
023650,2024-12-31,2024,12,INDL,C,13924.0,2366.0,11558.0,1498.0,190.0,936.0,1598.0,26.0,8880.0,8880.0,4396.0,3428.0,1020.0,1056.0,2019.0,2019.0,1367.0,19.0,SHOP,SHOPIFY INC
024616,2024-12-31,2024,12,INDL,C,81611.0,61194.0,20417.0,6561.0,10526.0,1331.0,7546.0,541.0,31797.0,31797.0,16433.0,8569.0,5763.0,6795.0,4147.0,4147.0,1500.0,683.0,PYPL,PAYPAL HOLDINGS INC
064768,2024-12-31,2024,12,INDL,C,624894.0,338924.0,285970.0,78779.0,138000.0,17401.0,49300.0,33216.0,637959.0,637959.0,294221.0,242315.0,69438.0,101423.0,59248.0,59248.0,88544.0,82999.0,AMZN,AMAZON.COM INC
147579,2024-12-31,2024,12,INDL,C,53630.374,28886.807,24743.567,7804.733,15782.039,2212.935,1335.304,0.0,39000.966,39000.966,20709.55,7544.888,10417.614,10746.528,8711.631,8711.631,2925.295,439.538,NFLX,NETFLIX INC
160329,2024-12-31,2024,12,INDL,C,450256.0,125172.0,321984.0,23466.0,24016.0,4121.0,52340.0,,350018.0,350018.0,130842.0,90759.0,113106.0,128417.0,100118.0,100118.0,49326.0,52535.0,GOOGL,ALPHABET INC
170617,2024-12-31,2024,12,INDL,C,276054.0,93417.0,182637.0,43889.0,47751.0,2018.0,16994.0,0.0,164501.0,164501.0,14632.0,64752.0,69619.0,85117.0,62360.0,62360.0,43873.0,37256.0,META,META PLATFORMS INC
184996,2024-12-31,2024,12,INDL,C,122070.0,48390.0,72913.0,16139.0,10360.0,3263.0,4574.0,12017.0,97690.0,97690.0,74872.0,9690.0,7760.0,13128.0,7091.0,7091.0,4540.0,11342.0,TSLA,TESLA INC
